"caption","commentsCount","likesCount","videoViewCount","timestamp","images"
"Since 2014, after his father spoke in support of BJP, tragedy struck the family — three brothers killed under Shahabuddin’s terror. Chanda Babu’s fourth son now stays away from the media. OpIndia Exclusive","0","179","1379","2025-10-23T09:59:30.000Z",
"Gopal Tiwari exposes the hypocrisy of media outlets trying to whitewash Samajwadi leader and alleged mafia Azam Khan, who walks out of jail after months in custody facing multiple corruption and forgery cases.","0","89","276","2025-10-23T05:03:09.000Z",
"Former Punjab DGP Mustafa’s son accused his father of having an illegal relationship with his wife before his mysterious death. Haryana Police have filed a case. Cabinet minister Razia Sultana’s role under scrutiny. @RitikaChandola reports.","6","197","906","2025-10-23T09:32:19.000Z",
"""Impotent governments, criminals becoming legislators, and the common man suffering."" Listen to Badri Narayan Pandey, founder of the 1990 Gram Raksha Dal Shahidi Jatha, on Champaran’s dark days of bandit terror and loot.","0","55","329","2025-10-23T12:21:31.000Z",
"PM Modi at ‘Mera Booth Sabse Majboot’ interaction: “People don’t forget. This is the land of Chanakya…” A youth born in 1997 recounts the horrors of Bihar’s jungle raj.","0","9","67","2025-10-23T14:00:58.000Z",
"PM Modi addresses youth: “People must demand answers from Congress and their allies, as this coalition despises Bihar. Wherever the INDI alliance rules, they target the people of Bihar.”","0","90","700","2025-10-23T13:58:13.000Z",
"Three women booked for offering namaz inside Pune's historic Shaniwar Wada after video went viral. Pune City police have filed an FIR under the Ancient Monuments and Archaeological Sites and Remains (AMASR) Rules, 1959, for violating restrictions applicable to protected monuments.","47","1610","14083","2025-10-23T07:22:25.000Z",
"OpIndia Ground Report: What do Bihar’s people say about CM Nitish Kumar’s tenure and the decision on liquor ban? Watch the full ground report now on OpIndia’s YouTube channel.","1","195","971","2025-10-23T07:35:27.000Z",
"Masood Azhar’s sisters start daily 40-min online ‘jihad course’ for Pakistani girls at Rs 500 fee; Jaish-e-Mohammed expands women’s wing.","1","133","458","2025-10-23T11:46:07.000Z",
"CEC hits back on ""Zero House Number"" row: 

👉 “Millions have ‘0’ as house number.”
👉 “What should a homeless person write?”
👉 “ECI won’t let politics hijack voters’ rights.”

#ElectionCommission #Democracy #biharelection2025","56","3980","15919","2025-08-17T13:51:09.000Z",
"Congress-supporting Muslim children in Bihar caught abusing PM Narendra Modi — sparking debate on who fuels such intense hatred among young minds.","50","885","5652","2025-10-23T07:02:26.000Z",
"What world leaders said on Diwali 
#diwali #trump","1","294","1058","2025-10-21T10:21:20.000Z",
"""The day isn’t far when even this court building will be declared Waqf.""

In Kerala’s Munambam, the Waqf Board tried to seize land belonging to 400 Hindu and Christian families — even sending them eviction notices. Backed by Islamist hardliners and silently supported by the Communist government, the Board pushed its claim aggressively.

But now, the Kerala High Court has declared the move to label the land as Waqf illegal and rebuked the Board. How did this battle, which began in the 1950s, reach this turning point? Explained by @mediaharshv","0","275","939","2025-10-21T05:54:04.000Z",
"How one vote can change Bihar’s future — hear it from a youth who never voted before.","1","223","1322","2025-10-20T09:30:57.000Z",
"Why Congress is asking people to avoid Sanatanis?
#rss #congress","5","235","788","2025-10-20T12:44:04.000Z",
"Mafia Shahabuddin’s terror still haunts Siwan — after acid-killing two of Chand Babu’s sons, his third son was murdered before testifying in court; family lives under fear despite CCTV cover.","3","1015","6756","2025-10-20T08:42:02.000Z",
"How Waqf Board tried to grab 400 acre land in Kerala
#kerala #waqf","0","232","715","2025-10-21T12:18:08.000Z",
"President Droupadi Murmu offered prayers at Sabrimala Temple, Kerala. 

#Sabrimala","4","1350","6821","2025-10-22T10:06:14.000Z",
"Why professor Francesca Orsini was deported?","4","305","1107","2025-10-22T11:38:12.000Z",
"Salman Khan just said what every Baloch has been screaming for decades — Freedom from Pakistan.
#balochistan #salman","30","2253","9500","2025-10-21T16:03:39.000Z",
